Program, Agent, DateTime, SurveyComplete, Question, Answer
80,318072,2020-11-18 08:13:56,Y,Call Resolution,Yes
80,318072,2020-11-18 08:13:56,Y,Customer Satisfaction,Mostly Satisfied
80,318072,2020-11-18 08:13:56,Y,Net Promoter Score,Yes
80,318072,2020-11-18 08:13:56,Y,Source of Number,Mail
80,334217,2020-11-18 08:30:18,Y,Call Resolution,Yes
80,334217,2020-11-18 08:30:18,Y,Customer Satisfaction,Completely Satisfied
80,334217,2020-11-18 08:30:18,Y,Net Promoter Score,Yes
80,334217,2020-11-18 08:30:18,Y,Source of Number,Mail
80,324732,2020-11-18 08:31:22,Y,Call Resolution,Yes
80,324732,2020-11-18 08:31:22,Y,Customer Satisfaction,Completely Satisfied
80,324732,2020-11-18 08:31:22,Y,Net Promoter Score,Yes
80,324732,2020-11-18 08:31:22,Y,Source of Number,Mail
80,328171,2020-11-18 08:33:58,Y,Call Resolution,Yes
80,328171,2020-11-18 08:33:58,Y,Customer Satisfaction,Completely Satisfied
80,328171,2020-11-18 08:33:58,Y,Net Promoter Score,Yes
80,328171,2020-11-18 08:33:58,Y,Source of Number,Online
80,334223,2020-11-18 08:35:29,Y,Call Resolution,Yes
80,334223,2020-11-18 08:35:29,Y,Customer Satisfaction,Completely Satisfied
80,334223,2020-11-18 08:35:29,Y,Net Promoter Score,Yes
80,334223,2020-11-18 08:35:29,Y,Source of Number,Mail
80,318095,2020-11-18 08:39:45,Y,Call Resolution,Yes
80,318095,2020-11-18 08:39:45,Y,Customer Satisfaction,Completely Satisfied
80,318095,2020-11-18 08:39:45,Y,Net Promoter Score,Yes
80,318095,2020-11-18 08:39:45,Y,Source of Number,Friend
80,331602,2020-11-18 08:44:16,,Call Resolution,No Response
80,331602,2020-11-18 08:44:16,,Customer Satisfaction,No Response
80,331602,2020-11-18 08:44:16,,Net Promoter Score,No Response
80,331602,2020-11-18 08:44:16,,Source of Number,No Response
80,319765,2020-11-18 08:53:10,Y,Call Resolution,Yes
80,319765,2020-11-18 08:53:10,Y,Customer Satisfaction,Completely Satisfied
80,319765,2020-11-18 08:53:10,Y,Net Promoter Score,Yes
80,319765,2020-11-18 08:53:10,Y,Source of Number,Online
80,1326161,2020-11-18 08:56:48,Y,Call Resolution,Yes
80,1326161,2020-11-18 08:56:48,Y,Customer Satisfaction,Mostly Satisfied
80,1326161,2020-11-18 08:56:48,Y,Net Promoter Score,Yes
80,1326161,2020-11-18 08:56:48,Y,Source of Number,Mail
80,328171,2020-11-18 09:00:09,Y,Call Resolution,Yes
80,328171,2020-11-18 09:00:09,Y,Customer Satisfaction,Completely Satisfied
80,328171,2020-11-18 09:00:09,Y,Net Promoter Score,Yes
80,328171,2020-11-18 09:00:09,Y,Source of Number,Online
80,334215,2020-11-18 09:01:19,Y,Call Resolution,Yes
80,334215,2020-11-18 09:01:19,Y,Customer Satisfaction,Completely Satisfied
80,334215,2020-11-18 09:01:19,Y,Net Promoter Score,Yes
80,334215,2020-11-18 09:01:19,Y,Source of Number,Mail
80,331602,2020-11-18 09:11:20,Y,Call Resolution,Yes
80,331602,2020-11-18 09:11:20,Y,Customer Satisfaction,Completely Satisfied
80,331602,2020-11-18 09:11:20,Y,Net Promoter Score,Yes
80,331602,2020-11-18 09:11:20,Y,Source of Number,Mail
80,318074,2020-11-18 09:11:43,Y,Call Resolution,Yes
80,318074,2020-11-18 09:11:43,Y,Customer Satisfaction,Completely Satisfied
80,318074,2020-11-18 09:11:43,Y,Net Promoter Score,Yes
80,318074,2020-11-18 09:11:43,Y,Source of Number,Online
80,325140,2020-11-18 09:14:50,Y,Call Resolution,Yes
80,325140,2020-11-18 09:14:50,Y,Customer Satisfaction,Completely Satisfied
80,325140,2020-11-18 09:14:50,Y,Net Promoter Score,Yes
80,325140,2020-11-18 09:14:50,Y,Source of Number,Mail
80,334245,2020-11-18 09:20:34,Y,Call Resolution,Yes
80,334245,2020-11-18 09:20:34,Y,Customer Satisfaction,Completely Satisfied
80,334245,2020-11-18 09:20:34,Y,Net Promoter Score,Yes
80,334245,2020-11-18 09:20:34,Y,Source of Number,Mail
80,324732,2020-11-18 09:21:40,Y,Call Resolution,Yes
80,324732,2020-11-18 09:21:40,Y,Customer Satisfaction,Completely Satisfied
80,324732,2020-11-18 09:21:40,Y,Net Promoter Score,Yes
80,324732,2020-11-18 09:21:40,Y,Source of Number,Mail
80,328171,2020-11-18 09:22:59,,Call Resolution,No
80,328171,2020-11-18 09:22:59,,Commit Call Back,No
80,328171,2020-11-18 09:22:59,,Same Issue,No
80,324732,2020-11-18 09:40:17,Y,Call Resolution,Yes
80,324732,2020-11-18 09:40:17,Y,Customer Satisfaction,Completely Satisfied
80,324732,2020-11-18 09:40:17,Y,Net Promoter Score,Yes
