Program, Agent, DateTime, SurveyComplete, Question, Answer
80,333338,2020-11-20 08:38:50,Y,Call Resolution,Yes
80,333338,2020-11-20 08:38:50,Y,Customer Satisfaction,Completely Satisfied
80,333338,2020-11-20 08:38:50,Y,Net Promoter Score,Yes
80,333338,2020-11-20 08:38:50,Y,Source of Number,Friend
80,3342231,2020-11-20 08:39:09,Y,Call Resolution,No
80,3342231,2020-11-20 08:39:09,Y,Commit Call Back,No
80,3342231,2020-11-20 08:39:09,Y,Customer Satisfaction,Completely Satisfied
80,3342231,2020-11-20 08:39:09,Y,Net Promoter Score,Yes
80,3342231,2020-11-20 08:39:09,Y,Same Issue,No
80,3342231,2020-11-20 08:39:09,Y,Source of Number,Mail
80,333373,2020-11-20 08:40:06,Y,Call Resolution,Yes
80,333373,2020-11-20 08:40:06,Y,Customer Satisfaction,Completely Satisfied
80,333373,2020-11-20 08:40:06,Y,Net Promoter Score,Yes
80,333373,2020-11-20 08:40:06,Y,Source of Number,Mail
80,328171,2020-11-20 08:48:22,Y,Call Resolution,Yes
80,328171,2020-11-20 08:48:22,Y,Customer Satisfaction,Completely Satisfied
80,328171,2020-11-20 08:48:22,Y,Net Promoter Score,Yes
80,328171,2020-11-20 08:48:22,Y,Source of Number,Mail
80,328360,2020-11-20 08:53:41,Y,Call Resolution,Yes
80,328360,2020-11-20 08:53:41,Y,Customer Satisfaction,Completely Satisfied
80,328360,2020-11-20 08:53:41,Y,Net Promoter Score,Yes
80,328360,2020-11-20 08:53:41,Y,Source of Number,Mail
80,326146,2020-11-20 08:55:00,Y,Source of Number,Online
80,326146,2020-11-20 08:55:00,Y,Net Promoter Score,Yes
80,326146,2020-11-20 08:55:00,Y,Customer Satisfaction,Mostly Satisfied
80,326146,2020-11-20 08:55:00,Y,Call Resolution,Yes
80,333397,2020-11-20 08:55:13,Y,Call Resolution,Yes
80,333397,2020-11-20 08:55:13,Y,Customer Satisfaction,Completely Satisfied
80,333397,2020-11-20 08:55:13,Y,Net Promoter Score,Yes
80,333397,2020-11-20 08:55:13,Y,Source of Number,Online
80,334217,2020-11-20 09:02:04,Y,Call Resolution,Yes
80,334217,2020-11-20 09:02:04,Y,Customer Satisfaction,Completely Satisfied
80,334217,2020-11-20 09:02:04,Y,Net Promoter Score,Yes
80,334217,2020-11-20 09:02:04,Y,Source of Number,Mail
80,331663,2020-11-20 09:04:11,Y,Call Resolution,Yes
80,331663,2020-11-20 09:04:11,Y,Customer Satisfaction,Completely Satisfied
80,331663,2020-11-20 09:04:11,Y,Net Promoter Score,Yes
80,331663,2020-11-20 09:04:11,Y,Source of Number,Mail
80,326169,2020-11-20 09:05:55,Y,Call Resolution,Yes
80,326169,2020-11-20 09:05:55,Y,Customer Satisfaction,Completely Satisfied
80,326169,2020-11-20 09:05:55,Y,Net Promoter Score,Yes
80,326169,2020-11-20 09:05:55,Y,Source of Number,Provider
80,333356,2020-11-20 09:08:49,Y,Call Resolution,Yes
80,333356,2020-11-20 09:08:49,Y,Customer Satisfaction,Completely Satisfied
80,333356,2020-11-20 09:08:49,Y,Net Promoter Score,Yes
80,333356,2020-11-20 09:08:49,Y,Source of Number,Mail
80,326180,2020-11-20 09:12:52,Y,Call Resolution,Yes
80,326180,2020-11-20 09:12:52,Y,Customer Satisfaction,Completely Satisfied
80,326180,2020-11-20 09:12:52,Y,Net Promoter Score,Yes
80,326180,2020-11-20 09:12:52,Y,Source of Number,Mail
80,318072,2020-11-20 09:15:00,Y,Call Resolution,Yes
80,318072,2020-11-20 09:15:00,Y,Customer Satisfaction,Completely Satisfied
80,318072,2020-11-20 09:15:00,Y,Net Promoter Score,Yes
80,318072,2020-11-20 09:15:00,Y,Source of Number,Mail
80,325128,2020-11-20 09:20:30,Y,Call Resolution,Yes
80,325128,2020-11-20 09:20:30,Y,Customer Satisfaction,Completely Satisfied
80,325128,2020-11-20 09:20:30,Y,Net Promoter Score,Yes
80,325128,2020-11-20 09:20:30,Y,Source of Number,Online
80,334249,2020-11-20 09:22:57,Y,Call Resolution,Yes
80,334249,2020-11-20 09:22:57,Y,Customer Satisfaction,Completely Satisfied
80,334249,2020-11-20 09:22:57,Y,Net Promoter Score,Yes
80,334249,2020-11-20 09:22:57,Y,Source of Number,Mail
80,326181,2020-11-20 09:25:33,Y,Call Resolution,Yes
80,326181,2020-11-20 09:25:33,Y,Customer Satisfaction,Completely Satisfied
80,326181,2020-11-20 09:25:33,Y,Net Promoter Score,Yes
80,326181,2020-11-20 09:25:33,Y,Source of Number,Mail
80,333403,2020-11-20 09:25:46,Y,Call Resolution,Yes
80,333403,2020-11-20 09:25:46,Y,Customer Satisfaction,Completely Satisfied
80,333403,2020-11-20 09:25:46,Y,Net Promoter Score,Yes
80,333403,2020-11-20 09:25:46,Y,Source of Number,Plan
80,1326161,2020-11-20 09:28:58,Y,Call Resolution,Yes
80,1326161,2020-11-20 09:28:58,Y,Customer Satisfaction,Completely Satisfied
80,1326161,2020-11-20 09:28:58,Y,Net Promoter Score,Yes
80,1326161,2020-11-20 09:28:58,Y,Source of Number,Mail
80,328161,2020-11-20 09:30:19,Y,Call Resolution,Yes
80,328161,2020-11-20 09:30:19,Y,Customer Satisfaction,Completely Satisfied
80,328161,2020-11-20 09:30:19,Y,Net Promoter Score,Yes
80,328161,2020-11-20 09:30:19,Y,Source of Number,Provider
80,1326151,2020-11-20 09:36:45,Y,Call Resolution,No Response
80,1326151,2020-11-20 09:36:45,Y,Customer Satisfaction,Completely Satisfied
80,1326151,2020-11-20 09:36:45,Y,Net Promoter Score,Yes
80,1326151,2020-11-20 09:36:45,Y,Source of Number,Mail
80,334266,2020-11-20 09:36:33,Y,Call Resolution,Yes
80,334266,2020-11-20 09:36:33,Y,Customer Satisfaction,Completely Satisfied
80,334266,2020-11-20 09:36:33,Y,Net Promoter Score,Yes
