Program, Agent, DateTime, SurveyComplete, Question, Answer
80,318074,2020-10-06 12:16:22,Y,Call Resolution,Yes
80,318074,2020-10-06 12:16:22,Y,Customer Satisfaction,Completely
80,318074,2020-10-06 12:16:22,Y,Net Promoter Score,Yes
80,318074,2020-10-06 12:16:22,Y,Source of Number,Online
