Program, Agent, DateTime, SurveyComplete, Question, Answer
80,318121,2020-10-01 09:03:02,Y,Call Resolution,Yes
80,318121,2020-10-01 09:03:02,Y,Customer Satisfaction,Completely
80,318121,2020-10-01 09:03:02,Y,Net Promoter Score,Yes
80,318121,2020-10-01 09:03:02,Y,Source of Number,Other
80,1318066,2020-10-01 10:57:29,Y,Call Resolution,No
80,1318066,2020-10-01 10:57:29,Y,Commit Call Back,No
80,1318066,2020-10-01 10:57:29,Y,Customer Satisfaction,Mostly Dis
80,1318066,2020-10-01 10:57:29,Y,Dissatisfied Reason,Questions Not Answered
80,1318066,2020-10-01 10:57:29,Y,Net Promoter Score,No
80,1318066,2020-10-01 10:57:29,Y,Same Issue,Yes
80,1318066,2020-10-01 10:57:29,Y,Source of Number,Other
80,0000,2020-10-01 11:44:00,Y,Call Resolution,Some
80,0000,2020-10-01 11:44:00,Y,Commit Call Back,Yes
80,0000,2020-10-01 11:44:00,Y,Customer Satisfaction,Mostly
80,0000,2020-10-01 11:44:00,Y,Net Promoter Score,Yes
80,0000,2020-10-01 11:44:00,Y,Same Issue,No
80,0000,2020-10-01 11:44:00,Y,Source of Number,TV or Radio
80,0000,2020-10-01 11:46:36,,Call Resolution,Yes
80,318079,2020-10-01 14:02:05,,Call Resolution,No Response
80,318079,2020-10-01 14:02:05,,Customer Satisfaction,No Response
80,318079,2020-10-01 14:02:05,,Net Promoter Score,No Response
80,318079,2020-10-01 14:02:05,,Source of Number,No Response
80,318079,2020-10-01 14:02:06,,Call Resolution,No Response
80,318079,2020-10-01 14:02:06,,Customer Satisfaction,No Response
80,318079,2020-10-01 14:02:06,,Net Promoter Score,No Response
80,318079,2020-10-01 14:02:06,,Source of Number,No Response
80,319149,2020-10-01 14:51:14,Y,Call Resolution,Yes
80,319149,2020-10-01 14:51:14,Y,Customer Satisfaction,Completely
80,319149,2020-10-01 14:51:14,Y,Net Promoter Score,Yes
80,319149,2020-10-01 14:51:14,Y,Source of Number,Get Cov NJ
80,318085,2020-10-01 15:10:47,Y,Call Resolution,Yes
80,318085,2020-10-01 15:10:47,Y,Customer Satisfaction,Completely
80,318085,2020-10-01 15:10:47,Y,Net Promoter Score,Yes
80,318085,2020-10-01 15:10:47,Y,Source of Number,Get Cov NJ
80,318086,2020-10-01 15:15:11,Y,Call Resolution,Yes
80,318086,2020-10-01 15:15:11,Y,Customer Satisfaction,Completely
80,318086,2020-10-01 15:15:11,Y,Net Promoter Score,Yes
80,318086,2020-10-01 15:15:11,Y,Source of Number,Broker
80,318073,2020-10-01 15:17:45,Y,Call Resolution,Yes
80,318073,2020-10-01 15:17:45,Y,Customer Satisfaction,Completely
80,318073,2020-10-01 15:17:45,Y,Net Promoter Score,Yes
80,318073,2020-10-01 15:17:45,Y,Source of Number,Get Cov NJ
80,318072,2020-10-01 15:31:11,,Call Resolution,No Response
80,318085,2020-10-01 15:38:37,,Call Resolution,Yes
80,318085,2020-10-01 15:38:37,,Customer Satisfaction,Completely
80,318085,2020-10-01 15:38:37,,Net Promoter Score,Yes
80,318121,2020-10-01 15:39:14,Y,Call Resolution,Yes
80,318121,2020-10-01 15:39:14,Y,Customer Satisfaction,Mostly
80,318121,2020-10-01 15:39:14,Y,Net Promoter Score,Yes
80,318121,2020-10-01 15:39:14,Y,Source of Number,Get Cov NJ
80,318064,2020-10-01 16:14:06,,Call Resolution,Yes
80,318064,2020-10-01 16:14:06,,Customer Satisfaction,Neutral
80,318073,2020-10-01 16:18:56,Y,Call Resolution,No
80,318073,2020-10-01 16:18:56,Y,Commit Call Back,No
80,318073,2020-10-01 16:18:56,Y,Customer Satisfaction,Completely Dis
80,318073,2020-10-01 16:18:56,Y,Dissatisfied Reason,Questions Not Answered
80,318073,2020-10-01 16:18:56,Y,Net Promoter Score,No
80,318073,2020-10-01 16:18:56,Y,Same Issue,No
80,318073,2020-10-01 16:18:56,Y,Source of Number,Get Cov NJ
80,318130,2020-10-01 17:14:33,Y,Call Resolution,Yes
80,318130,2020-10-01 17:14:33,Y,Customer Satisfaction,Completely
80,318130,2020-10-01 17:14:33,Y,Net Promoter Score,Yes
80,318130,2020-10-01 17:14:33,Y,Source of Number,Get Cov NJ
