"AGENT_ID",LOGIN_ID,FIRST_NAME,LAST_NAME,MIDDLE_INITIAL,JOB_TITLE,LANGUAGE,HOURLY_RATE,RATE_CURRENCY,AGENT_GROUP,EXTRACT_DT,RECORD_EFF_DT,RECORD_END_DT,SITE_NAME,PROJECT_NAME,PROGRAM_NAME
,HIXA,HIHIX,Agents,HIX,Unknown,Unknown,0,USD,Unknown,1/1/1900,1/1/1900,12/31/2199,Unknown,HIHIX,HIX
0,0,Unknown,Unknown,Unknown,Unknown,Unknown,0,USD,Unknown,1/1/1900,1/1/1900,12/31/2199,Unknown,HIHIX,HIX
