UNIT_OF_WORK_NAME,RECORD_EFF_DT,RECORD_END_DT
HI Language,1900/01/01,2999/12/31
Other Language,1900/01/01,2999/12/31
English Language,1900/01/01,2999/12/31
Individual,1900/01/01,2999/12/31
SHOP,1900/01/01,2999/12/31
WebChat,1900/01/01,2999/12/31
