PROJECT_CONFIG_ID	PROJECT_NAME	PROGRAM_NAME	REGION_NAME	STATE_NAME	PROVINCE_NAME	DISTRICT_NAME	COUNTRY_NAME	RECORD_EFF_DT	RECORD_END_DT
0	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown	1900/01/01	2199/12/31
1	NY HIX	HIX	Eastern	New York	Unknown	Unknown	USA	1900/01/01	2199/12/31
2	NY HIX	SWCC	Eastern	New York	Unknown	Unknown	USA	1900/01/01	2199/12/31
3	NY EC	EC	Eastern	New York	Unknown	Unknown	USA	1900/01/01	2199/12/31
4	NY FPBP	FPBP	Eastern	New York	Unknown	Unknown	USA	1900/01/01	2199/12/31
