LOOKUP_TYPE,LOOKUP_KEY,LOOKUP_VALUE
ACD_ANSDELAY_PERIOD,ANSDELAY600,SPEED_OF_ANSWER_PERIOD_9
ACD_ANSDELAY_PERIOD,ANSDELAY70,SPEED_OF_ANSWER_PERIOD_4
ACD_ANSDELAY_PERIOD,ANSDELAY8,SPEED_OF_ANSWER_PERIOD_1
ACD_ANSDELAY_PERIOD,ANSDELAY80,SPEED_OF_ANSWER_PERIOD_4
ACD_ANSDELAY_PERIOD,ANSDELAY90,SPEED_OF_ANSWER_PERIOD_4
ACD_ANSDELAY_PERIOD,ANSDELAYBEYOND,SPEED_OF_ANSWER_PERIOD_10
IVR_DNIS_PROJECT,1960,NY HIX
IVR_DNIS_PROJECT,1961,NY HIX
IVR_DNIS_PROJECT,1962,NY HIX
IVR_DNIS_PROJECT,1963,NY HIX
IVR_DNIS_PROJECT,1964,NY HIX
IVR_DNIS_PROJECT,1965,NY HIX
IVR_DNIS_PROJECT,1966,NY EC
IVR_DNIS_PROJECT,1970,NY HIX
IVR_DNIS_PROJECT,1971,NY HIX
IVR_DNIS_PROJECT,2140,NY HIX
IVR_DNIS_PROJECT,2141,NY FPBP
IVR_DNIS_PROJECT,2142,NY HIX
IVR_DNIS_PROJECT,2143,NY HIX
IVR_DNIS_PROJECT,2144,NY EC
IVR_DNIS_PROJECT,2145,NY EC
IVR_DNIS_PROJECT,2148,NY FPBP
IVR_DNIS_PROJECT,4400,NY HIX
IVR_DNIS_PROJECT,4461,NY HIX
IVR_DNIS_PROJECT,4462,NY HIX
IVR_DNIS_PROJECT,4463,NY HIX
IVR_DNIS_PROJECT,4464,NY HIX
IVR_DNIS_PROJECT,4466,NY HIX
IVR_DNIS_PROJECT,4468,NY HIX
IVR_DNIS_PROJECT,4469,NY HIX
IVR_DNIS_PROJECT,4470,NY HIX
IVR_DNIS_PROJECT,4471,NY HIX
IVR_DNIS_PROJECT,4472,NY HIX
IVR_DNIS_PROJECT,4473,NY HIX
IVR_DNIS_PROJECT,4474,NY HIX
IVR_DNIS_PROGRAM,1960,SWCC
