FILTER_TYPE,VALUE
ACD_SKILL_GROUP_INC,10087
ACD_SKILL_GROUP_INC,10088
ACD_SKILL_GROUP_INC,10089
ACD_SKILL_GROUP_INC,10090
ACD_SKILL_GROUP_INC,10091
ACD_SKILL_GROUP_INC,10092
ACD_SKILL_GROUP_INC,10093
ACD_SKILL_GROUP_INC,10094
ACD_SKILL_GROUP_INC,10095
ACD_SKILL_GROUP_INC,10096
ACD_SKILL_GROUP_INC,10097
ACD_SKILL_GROUP_INC,10098
ACD_SKILL_GROUP_INC,10099
ACD_SKILL_GROUP_INC,10100
ACD_SKILL_GROUP_INC,10101
ACD_SKILL_GROUP_INC,10102
ACD_SKILL_GROUP_INC,10103
ACD_SKILL_GROUP_INC,10104
ACD_SKILL_GROUP_INC,10105
ACD_SKILL_GROUP_INC,10106
ACD_SKILL_GROUP_INC,10107
ACD_SKILL_GROUP_INC,10108
ACD_SKILL_GROUP_INC,10109
ACD_SKILL_GROUP_INC,10110
ACD_SKILL_GROUP_INC,10111
ACD_SKILL_GROUP_INC,10112
ACD_SKILL_GROUP_INC,10113
ACD_SKILL_GROUP_INC,10114
ACD_SKILL_GROUP_INC,10115
ACD_SKILL_GROUP_INC,10116
ACD_SKILL_GROUP_INC,10117
ACD_SKILL_GROUP_INC,10118
ACD_SKILL_GROUP_INC,10120
ACD_SKILL_GROUP_INC,10121
ACD_SKILL_GROUP_INC,10122
ACD_SKILL_GROUP_INC,10124
ACD_SKILL_GROUP_INC,10126
ACD_SKILL_GROUP_INC,10127
ACD_SKILL_GROUP_INC,10128
ACD_SKILL_GROUP_INC,10129
ACD_SKILL_GROUP_INC,10130
ACD_SKILL_GROUP_INC,10131
ACD_SKILL_GROUP_INC,10132
ACD_SKILL_GROUP_INC,10133
ACD_SKILL_GROUP_INC,10134
ACD_SKILL_GROUP_INC,10141
ACD_SKILL_GROUP_INC,10142
ACD_SKILL_GROUP_INC,10143
ACD_SKILL_GROUP_INC,10145
ACD_SKILL_GROUP_INC,10146
ACD_SKILL_GROUP_INC,10147
ACD_SKILL_GROUP_INC,10148
ACD_SKILL_GROUP_INC,10149
ACD_SKILL_GROUP_INC,10186
ACD_SKILL_GROUP_INC,10187
ACD_SKILL_GROUP_INC,10188
ACD_SKILL_GROUP_INC,10189
ACD_SKILL_GROUP_INC,10190
ACD_SKILL_GROUP_INC,10191
ACD_SKILL_GROUP_INC,10192
ACD_SKILL_GROUP_INC,10193
ACD_SKILL_GROUP_INC,10195
ACD_SKILL_GROUP_INC,10196
ACD_SKILL_GROUP_INC,10197
ACD_SKILL_GROUP_INC,10198
ACD_SKILL_GROUP_INC,10199
ACD_SKILL_GROUP_INC,10200
ACD_SKILL_GROUP_INC,10201
ACD_SKILL_GROUP_INC,10202
ACD_SKILL_GROUP_INC,10203
ACD_SKILL_GROUP_INC,10204
ACD_SKILL_GROUP_INC,10205
ACD_SKILL_GROUP_INC,10206
ACD_SKILL_GROUP_INC,10207
ACD_SKILL_GROUP_INC,10208
ACD_SKILL_GROUP_INC,10209
ACD_SKILL_GROUP_INC,10210
ACD_SKILL_GROUP_INC,10211
WFM_STAFF_GROUP_INC,1001
WFM_STAFF_GROUP_INC,1002
WFM_STAFF_GROUP_INC,1003
WFM_STAFF_GROUP_INC,1038
WFM_STAFF_GROUP_INC,1040
WFM_STAFF_GROUP_INC,1041
WFM_STAFF_GROUP_INC,1042
WFM_STAFF_GROUP_INC,1043
WFM_STAFF_GROUP_INC,1047
WFM_STAFF_GROUP_INC,1059
WFM_STAFF_GROUP_INC,1061
WFM_STAFF_GROUP_INC,1062
WFM_STAFF_GROUP_INC,1063
WFM_STAFF_GROUP_INC,1067
WFM_STAFF_GROUP_INC,1068
WFM_STAFF_GROUP_INC,1069
WFM_STAFF_GROUP_INC,1070
WFM_STAFF_GROUP_INC,1072
ACD_APPLICATION_ID_INC,10014
ACD_APPLICATION_ID_INC,10019
ACD_APPLICATION_ID_INC,10020
ACD_APPLICATION_ID_INC,10074
ACD_APPLICATION_ID_INC,10075
ACD_APPLICATION_ID_INC,10076
ACD_APPLICATION_ID_INC,10077
ACD_APPLICATION_ID_INC,10078
ACD_APPLICATION_ID_INC,10089
ACD_APPLICATION_ID_INC,10101
ACD_APPLICATION_ID_INC,10102
ACD_APPLICATION_ID_INC,10106
