"InteractionID",Client,"MediaType",submittedTime,CompletedTime,"connID",CRMActivityID
"01A77FDE01E7CD01B865000000124578",,"epVmail",11/19/2017 02:22:49,11/19/2017 02:22:55,,
"3A50A66C01E7CD019506000000124578",,"epVmail",11/19/2017 02:24:43,11/19/2017 02:24:49,,
"1E3D1DEA01E7CD01B4FD000000124578",,"epVmail",11/19/2017 02:47:08,11/19/2017 02:47:16,,
"0D22FFB201E7CD319441000000124578",,"epVmail",11/19/2017 07:23:14,11/19/2017 07:23:34,,
"BE161E0801E7CD31BBF3000000124578",,"epVmail",11/19/2017 07:29:27,11/19/2017 07:30:09,,
"4A02F07001E7CD319B95000000124578",,"epVmail",11/19/2017 08:16:21,11/19/2017 08:17:06,,
"4150C2EE01E7CD41A707000000124578",,"epVmail",11/19/2017 08:58:40,11/19/2017 08:59:12,,
"C9BAF3AC01E7CD41BCC4000000124578",,"epVmail",11/19/2017 09:02:52,11/19/2017 09:03:37,,
"F2734B3C01E7CD419705000000124578",,"epVmail",11/19/2017 09:03:11,11/19/2017 09:03:58,,
"2E18E81801E7CD41B9B2000000124578",,"epVmail",11/19/2017 09:04:13,11/19/2017 09:04:55,,
"525274A601E7CD41816C000000124578",,"epVmail",11/19/2017 09:05:17,11/19/2017 09:05:57,,
"799D7D9401E7CD4188D6000000124578",,"epVmail",11/19/2017 09:06:08,11/19/2017 09:06:35,,
"4AC9A96001E7CD419C9F000000124578",,"epVmail",11/19/2017 09:49:23,11/19/2017 09:50:05,,
"7FF0DCE401E7CD419A27000000124578",,"epVmail",11/19/2017 09:52:17,11/19/2017 09:52:45,,
"CAFE0A7601E7CD41AD76000000124578",,"epVmail",11/19/2017 10:35:57,11/19/2017 10:36:41,,
"6112770E01E7CD51BE51000000124578",,"epVmail",11/19/2017 10:38:38,11/19/2017 10:38:44,,
"4EFA0FFE01E7CD51A848000000124578",,"epVmail",11/19/2017 10:45:32,11/19/2017 10:45:52,,
"009F527601E7CD51AEB4000000124578",,"epVmail",11/19/2017 11:05:24,11/19/2017 11:06:18,,
"2FF2975201E7CD51B6B7000000124578",,"epVmail",11/19/2017 11:19:54,11/19/2017 11:19:59,,
"523D414A01E7CD519EEF000000124578",,"epVmail",11/19/2017 11:22:41,11/19/2017 11:23:26,,
"7E00D80201E7CD518D33000000124578",,"epVmail",11/19/2017 11:43:52,11/19/2017 11:43:59,,
"113C559C01E7CD51858A000000124578",,"epVmail",11/19/2017 11:47:54,11/19/2017 11:48:19,,
"2B71A16001E7CD5184BA000000124578",,"epVmail",11/19/2017 11:50:20,11/19/2017 11:50:22,,
"762D67DE01E7CD5197FA000000124578",,"epVmail",11/19/2017 11:50:40,11/19/2017 11:50:56,,
"D8E51C1C01E7CD5191AE000000124578",,"epVmail",11/19/2017 12:09:24,11/19/2017 12:10:09,,
"DAAD401801E7CD51B5E8000000124578",,"epVmail",11/19/2017 12:22:50,11/19/2017 12:23:18,,
"60AE3C5E01E7CD61A2D4000000124578",,"epVmail",11/19/2017 12:56:07,11/19/2017 12:56:49,,
"DF5B375401E7CD619549000000124578",,"epVmail",11/19/2017 13:42:39,11/19/2017 13:43:24,,
