"InteractionID",Client,"MediaType",submittedTime,CompletedTime,"connID",CRMActivityID
"640E281A01E857719BD7000000124578",,"epVmail",05/14/2018 07:14:15,05/14/2018 07:14:59,,
"B22C4E3A01E857718FC5000000124578",,"epVmail",05/14/2018 08:06:32,05/14/2018 08:07:16,,
"2EA8E4C801E85781A06C000000124578",,"epVmail",05/14/2018 08:08:06,05/14/2018 08:08:15,,
"8A16327A01E857818FE9000000124578",,"epVmail",05/14/2018 08:10:39,05/14/2018 08:10:43,,
"B888E18A01E857719DBA000000124578",,"epVmail",05/14/2018 08:10:50,05/14/2018 08:16:48,,
"A9E4BE1401E85781807A000000124578",,"epVmail",05/14/2018 08:12:01,05/14/2018 08:12:08,,
"E765DC7C01E85781A602000000124578",,"epVmail",05/14/2018 08:20:52,05/14/2018 08:21:00,,
"8682273E01E85781A7E4000000124578",,"epVmail",05/14/2018 08:25:41,05/14/2018 08:26:08,,
"F8F68EFE01E85781B7A6000000124578",,"epVmail",05/14/2018 08:30:12,05/14/2018 08:30:43,,
"07F3D9CE01E85781AA52000000124578",,"epVmail",05/14/2018 08:35:41,05/14/2018 08:35:50,,
"9FE25A7601E8578191DF000000124578",,"epVmail",05/14/2018 08:40:19,05/14/2018 08:40:25,,
"13687CA001E8578181CD000000124578",,"epVmail",05/14/2018 08:43:39,05/14/2018 08:43:54,,
"766190F801E85781BDBD000000124578",,"epVmail",05/14/2018 08:46:12,05/14/2018 08:46:36,,
"5EAC190001E857819C6C000000124578",,"epVmail",05/14/2018 08:52:18,05/14/2018 08:52:21,,
"8A13672E01E857819267000000124578",,"epVmail",05/14/2018 08:55:48,05/14/2018 08:56:22,,
"DDCE072A01E85781859E000000124578",,"epVmail",05/14/2018 08:56:41,05/14/2018 08:57:07,,
"05DA400801E857819A8B000000124578",,"epVmail",05/14/2018 08:57:30,05/14/2018 08:57:38,,
"6EC6729E01E85781B725000000124578",,"epVmail",05/14/2018 09:00:59,05/14/2018 09:01:29,,
"E068AA6801E857B1B4C8000000124578",,"epVmail",05/14/2018 14:23:22,05/14/2018 14:32:19,,
"641C736A01E857D1BC18000000124578",,"epVmail",05/14/2018 18:03:45,05/14/2018 18:03:55,,
"3D91806401E857D1A15E000000124578",,"epVmail",05/14/2018 18:03:49,05/14/2018 18:04:40,,
"5BE41C5C01E857D1987A000000124578",,"epVmail",05/14/2018 18:04:29,05/14/2018 18:05:11,,
"6B02CD6401E857D1BA00000000124578",,"epVmail",05/14/2018 18:05:02,05/14/2018 18:05:50,,
"CC6BA12001E857D1A49F000000124578",,"epVmail",05/14/2018 18:07:07,05/14/2018 18:07:12,,
"715CA22001E857D189F3000000124578",,"epVmail",05/14/2018 18:07:21,05/14/2018 18:07:48,,
"EB1CD91801E857D1B9AC000000124578",,"epVmail",05/14/2018 18:07:54,05/14/2018 18:08:02,,
"A26B8A2001E857D19428000000124578",,"epVmail",05/14/2018 18:08:03,05/14/2018 18:09:02,,
"F85AE6BA01E857D185EC000000124578",,"epVmail",05/14/2018 18:08:55,05/14/2018 18:09:20,,
"546F6EB201E857D1A32E000000124578",,"epVmail",05/14/2018 18:11:05,05/14/2018 18:11:25,,
"7A31197001E857D1BD55000000124578",,"epVmail",05/14/2018 18:11:29,05/14/2018 18:11:31,,
"910538AC01E857D19BE7000000124578",,"epVmail",05/14/2018 18:12:55,05/14/2018 18:13:25,,
"CB38AF3601E857D1B24E000000124578",,"epVmail",05/14/2018 18:15:01,05/14/2018 18:15:08,,
"7587C4C201E857D1AE61000000124578",,"epVmail",05/14/2018 18:19:57,05/14/2018 18:20:04,,
"CDD8B3DE01E857D18896000000124578",,"epVmail",05/14/2018 18:22:42,05/14/2018 18:22:48,,
"DE7D1AAE01E857D19C46000000124578",,"epVmail",05/14/2018 18:23:18,05/14/2018 18:24:17,,
"3853787001E857D1994C000000124578",,"epVmail",05/14/2018 18:25:01,05/14/2018 18:25:49,,
"2A44372401E857D19E76000000124578",,"epVmail",05/14/2018 18:26:05,05/14/2018 18:26:32,,
"47278C9201E857D1A953000000124578",,"epVmail",05/14/2018 18:27:02,05/14/2018 18:27:11,,
"D680EF2801E857D1B96E000000124578",,"epVmail",05/14/2018 18:28:26,05/14/2018 18:28:35,,
"B683FC7E01E857D19130000000124578",,"epVmail",05/14/2018 18:28:56,05/14/2018 18:29:12,,
"A0A9B9D801E857D1A697000000124578",,"epVmail",05/14/2018 18:34:41,05/14/2018 18:34:56,,
"44D80BB801E857D18CE9000000124578",,"epVmail",05/14/2018 18:39:05,05/14/2018 18:39:12,,
"CC56D1EA01E857D1AB8F000000124578",,"epVmail",05/14/2018 18:49:29,05/14/2018 18:49:35,,
"BA89F15401E857D1BD59000000124578",,"epVmail",05/14/2018 18:49:52,05/14/2018 18:50:17,,
"28FB1C3001E857D18982000000124578",,"epVmail",05/14/2018 18:53:07,05/14/2018 18:54:05,,
"8473FEE201E857D19453000000124578",,"epVmail",05/14/2018 19:02:00,05/14/2018 19:06:58,,
"77A2888001E857D1BC1D000000124578",,"epVmail",05/14/2018 19:09:02,05/14/2018 19:09:07,,
"6C9C46A601E857D1852F000000124578",,"epVmail",05/14/2018 19:09:32,05/14/2018 19:10:22,,
"8BABE9B601E857D1A22F000000124578",,"epVmail",05/14/2018 19:09:37,05/14/2018 19:09:43,,
"98607C6C01E857D18ED4000000124578",,"epVmail",05/14/2018 19:10:49,05/14/2018 19:11:09,,
"3C338B8201E857D19102000000124578",,"epVmail",05/14/2018 19:10:57,05/14/2018 19:13:16,,
"1E30518201E857D1B34B000000124578",,"epVmail",05/14/2018 19:13:48,05/14/2018 19:13:53,,
"88A7902001E857D18869000000124578",,"epVmail",05/14/2018 19:16:59,05/14/2018 19:17:07,,
"98D014CC01E857D198D0000000124578",,"epVmail",05/14/2018 19:17:15,05/14/2018 19:17:23,,
"80535A2001E857D1AAEB000000124578",,"epVmail",05/14/2018 19:23:39,05/14/2018 19:23:45,,
"B57A350201E857D1AA3F000000124578",,"epVmail",05/14/2018 19:25:17,05/14/2018 19:25:26,,
"1DD1A36001E857D1AFD1000000124578",,"epVmail",05/14/2018 19:28:21,05/14/2018 19:28:43,,
"6CAB7CA401E857D1B40F000000124578",,"epVmail",05/14/2018 19:38:32,05/14/2018 19:44:09,,
"6CDD69EA01E857E19F81000000124578",,"epVmail",05/14/2018 19:59:50,05/14/2018 20:00:51,,
"0630F79C01E857E18A61000000124578",,"epVmail",05/14/2018 20:02:50,05/14/2018 20:02:52,,
"83E8184001E857E182A0000000124578",,"epVmail",05/14/2018 20:16:07,05/14/2018 20:17:47,,
"BCFFEB3401E857E1B4E1000000124578",,"epVmail",05/14/2018 20:23:59,05/14/2018 20:24:40,,
"F27E975401E857E1BD5D000000124578",,"epVmail",05/14/2018 20:38:27,05/14/2018 20:38:34,,
"F821EB8E01E857E18179000000124578",,"epVmail",05/14/2018 20:39:30,05/14/2018 20:40:31,,
"2695459C01E857E1B1E7000000124578",,"epVmail",05/14/2018 20:40:18,05/14/2018 20:40:44,,
"D8830AB401E857E186F6000000124578",,"epVmail",05/14/2018 20:46:30,05/14/2018 20:46:55,,
"7B94388001E857E1B1A6000000124578",,"epVmail",05/14/2018 20:58:14,05/14/2018 20:58:23,,
"0104EE1A01E857F1AC52000000124578",,"epVmail",05/14/2018 22:14:30,05/14/2018 22:14:30,,
"11A4AACA01E857F1B000000000124578",,"epVmail",05/14/2018 22:19:14,05/14/2018 22:19:18,,
"55E3AACE01E857F19BC3000000124578",,"epVmail",05/14/2018 22:22:11,05/14/2018 22:23:02,,
"8FD6B88401E857F1A872000000124578",,"epVmail",05/14/2018 22:25:14,05/14/2018 22:25:22,,
"AEB9A35801E857F1AFA1000000124578",,"epVmail",05/14/2018 22:45:45,05/14/2018 22:46:11,,
"2696F3B601E857F1B83F000000124578",,"epVmail",05/14/2018 22:55:41,05/14/2018 22:55:54,,
"F130D13801E858019003000000124578",,"epVmail",05/14/2018 23:32:23,05/14/2018 23:34:59,,
"67E9E29201E85801989C000000124578",,"epVmail",05/14/2018 23:35:46,05/14/2018 23:38:03,,
"DC4290EE01E858018EF4000000124578",,"epVmail",05/14/2018 23:39:07,05/14/2018 23:41:56,,
"57AAFB4A01E85801A15C000000124578",,"epVmail",05/14/2018 23:44:00,05/14/2018 23:48:16,,
"9D3BE53C01E85801A4A5000000124578",,"epVmail",05/14/2018 23:56:12,05/14/2018 23:56:19,,
