"DBDateTime","AppName","ElementName",Count
"2017-09-01 00:00:00.0000000","CARC_CHCO_MENU_NEW","1SiteMenuClosed",1
"2017-09-01 00:00:00.0000000","CARC_CHCO_MENU_NEW","1SiteMenuOpen",178
"2017-09-01 00:00:00.0000000","CARC_CHCO_MENU_NEW","2SiteMenuOpen",49
"2017-09-01 00:00:00.0000000","CARC_CHCO_MENU_NEW","3rdDOBAttempt",130
"2017-09-01 00:00:00.0000000","CARC_CHCO_MENU_NEW","3rdDOBAttempt2",133
"2017-09-01 00:00:00.0000000","CARC_CHCO_MENU_NEW","3rdSSNCINAttempt",146
"2017-09-01 00:00:00.0000000","CARC_CHCO_MENU_NEW","3SiteMenuOpen",28
"2017-09-01 00:00:00.0000000","CARC_CHCO_MENU_NEW","4SiteMenuOpen",3
"2017-09-01 00:00:00.0000000","CARC_CHCO_MENU_NEW","AfterHours_1",1872
"2017-09-01 00:00:00.0000000","CARC_CHCO_MENU_NEW","AfterHours_10",203
"2017-09-01 00:00:00.0000000","CARC_CHCO_MENU_NEW","AfterHours_12",80
"2017-09-01 00:00:00.0000000","CARC_CHCO_MENU_NEW","AfterHours_14",142
"2017-09-01 00:00:00.0000000","CARC_CHCO_MENU_NEW","AfterHours_15",53
"2017-09-01 00:00:00.0000000","CARC_CHCO_MENU_NEW","AfterHours_16",217
"2017-09-01 00:00:00.0000000","CARC_CHCO_MENU_NEW","AfterHours_17",150
"2017-09-01 00:00:00.0000000","CARC_CHCO_MENU_NEW","AfterHours_18",338
"2017-09-01 00:00:00.0000000","CARC_CHCO_MENU_NEW","AfterHours_19",3
"2017-09-01 00:00:00.0000000","CARC_CHCO_MENU_NEW","AfterHours_2",178
"2017-09-01 00:00:00.0000000","CARC_CHCO_MENU_NEW","AfterHours_20",87
"2017-09-01 00:00:00.0000000","CARC_CHCO_MENU_NEW","AfterHours_21",132
"2017-09-01 00:00:00.0000000","CARC_CHCO_MENU_NEW","AfterHours_22",259
"2017-09-01 00:00:00.0000000","CARC_CHCO_MENU_NEW","AfterHours_23",4883
"2017-09-01 00:00:00.0000000","CARC_CHCO_MENU_NEW","AfterHours_24",37
"2017-09-01 00:00:00.0000000","CARC_CHCO_MENU_NEW","AfterHours_3",325
"2017-09-01 00:00:00.0000000","CARC_CHCO_MENU_NEW","AfterHours_4",626
"2017-09-01 00:00:00.0000000","CARC_CHCO_MENU_NEW","AfterHours_5",107
