"InteractionID",Client,"MediaType",submittedTime,CompletedTime,"connID",CRMActivityID
"9A1409C201EA1B918FEE000000124578",,"epVmail",12/10/2019 14:21:35,12/10/2019 14:21:46,,
"6EA60DAC01EA1B91AC83000000124578",,"epVmail",12/10/2019 15:38:25,12/10/2019 15:38:36,,
"0493D7CA01EA1BA1BA0A000000124578",,"epVmail",12/10/2019 16:36:36,12/10/2019 16:40:38,,
"FDFA444A01EA1B119A4F000000124578",,"epVmail",12/10/2019 00:20:01,12/10/2019 00:20:51,,
"B41A275E01EA1B3194AC000000124578",,"epVmail",12/10/2019 02:51:11,12/10/2019 02:57:13,,
"E9F2507C01EA1B619450000000124578",,"epVmail",12/10/2019 08:46:23,12/10/2019 08:47:47,,
"262A7D6C01EA1B81B085000000124578",,"epVmail",12/10/2019 13:38:34,12/10/2019 13:39:13,,
"DAF86A6C01EA1BA1A6E3000000124578",,"epVmail",12/10/2019 16:27:04,12/10/2019 16:27:25,,
"1E5339D001EA1B91AE6B000000124578",,"epVmail",12/10/2019 15:24:35,12/10/2019 15:25:46,,
"EF118B5801EA1BB1BAAD000000124578",,"epVmail",12/10/2019 19:37:10,12/10/2019 19:37:14,,
"9AE404E601EA1B618C00000000124578",,"epVmail",12/10/2019 08:30:18,12/10/2019 08:32:06,,
"C328F7B801EA1B61871D000000124578",,"epVmail",12/10/2019 08:30:42,12/10/2019 08:31:46,,
