"InteractionID",Client,"MediaType",submittedTime,CompletedTime,"connID",CRMActivityID
"9F9E9BBE01E9D3D1AD8D000000124578",,"epVmail",09/10/2019 07:43:00,09/10/2019 07:43:08,,
"0908FCB201E9D3B1AED3000000124578",,"epVmail",09/10/2019 05:15:24,09/10/2019 05:16:04,,
"3F1BB1C801E9D3E18A3C000000124578",,"epVmail",09/10/2019 10:46:52,09/10/2019 10:55:11,,
"009F23FA01E9D451A9DC000000124578",,"epVmail",09/10/2019 22:54:42,09/10/2019 22:55:46,,
"679F92000001000000006C651366960A",,"epVmail",09/10/2019 15:27:58,09/10/2019 15:28:30,,
"E97BC500000100000001E88F1266960A",,"epVmail",09/10/2019 10:48:47,09/10/2019 10:53:49,,
"24784EA601E9D43197B8000000124578",,"epVmail",09/10/2019 19:52:10,09/10/2019 19:52:55,,
"C896263401E9D431B2A5000000124578",,"epVmail",09/10/2019 19:55:04,09/10/2019 19:56:18,,
"20C17F1801E9D4018A1C000000124578",,"epVmail",09/10/2019 14:59:18,09/10/2019 14:59:54,,
"17D0A60801E9D441A1CE000000124578",,"epVmail",09/10/2019 21:02:44,09/10/2019 21:05:21,,
