"InteractionID",Client,"MediaType",submittedTime,CompletedTime,"connID",CRMActivityID
"F80203D001E89A11B396000000124578",,"epVmail",08/07/2018 01:17:57,08/07/2018 01:18:02,,
"3DD9562601E89A419148000000124578",,"epVmail",08/07/2018 07:05:12,08/07/2018 07:05:14,,
"D8CED30201E89A418F07000000124578",,"epVmail",08/07/2018 07:58:53,08/07/2018 07:59:30,,
"67761DFE01E89A41B55F000000124578",,"epVmail",08/07/2018 08:02:51,08/07/2018 08:03:28,,
"CDAFD01801E89A41BC2F000000124578",,"epVmail",08/07/2018 08:19:41,08/07/2018 08:19:54,,
"447B5C6601E89A4192F5000000124578",,"epVmail",08/07/2018 08:31:31,08/07/2018 08:32:15,,
"A9FF3C2E01E89A41AEE5000000124578",,"epVmail",08/07/2018 08:33:39,08/07/2018 08:33:57,,
"CFDBE80C01E89A41B47B000000124578",,"epVmail",08/07/2018 08:35:59,08/07/2018 08:36:50,,
"52527E5E01E89A418C30000000124578",,"epVmail",08/07/2018 08:37:34,08/07/2018 08:37:39,,
"BCC7155E01E89A51A75A000000124578",,"epVmail",08/07/2018 08:54:29,08/07/2018 08:54:35,,
"0B54341201E89A71BEEE000000124578",,"epVmail",08/07/2018 14:03:09,08/07/2018 14:15:21,,
"2EF92D3C01E89A918C6B000000124578",,"epVmail",08/07/2018 18:01:42,08/07/2018 18:01:50,,
"4C19DACE01E89A918BE9000000124578",,"epVmail",08/07/2018 18:02:38,08/07/2018 18:02:47,,
"4D999E8E01E89A91B12F000000124578",,"epVmail",08/07/2018 18:03:10,08/07/2018 18:03:31,,
"727928E601E89A918A74000000124578",,"epVmail",08/07/2018 18:06:22,08/07/2018 18:08:53,,
"D6A517C601E89A91B6BA000000124578",,"epVmail",08/07/2018 18:06:48,08/07/2018 18:06:55,,
"E4C4A5E201E89A91BF40000000124578",,"epVmail",08/07/2018 18:08:42,08/07/2018 18:08:50,,
"0DA3271801E89A9189AC000000124578",,"epVmail",08/07/2018 18:10:02,08/07/2018 18:10:35,,
"5B6F609201E89A91919B000000124578",,"epVmail",08/07/2018 18:10:26,08/07/2018 18:10:32,,
"A50B188601E89A91923B000000124578",,"epVmail",08/07/2018 18:13:39,08/07/2018 18:14:53,,
"D3E2C8D401E89A91B153000000124578",,"epVmail",08/07/2018 18:15:39,08/07/2018 18:17:18,,
"2E5235FC01E89AA1AF89000000124578",,"epVmail",08/07/2018 18:16:24,08/07/2018 18:16:31,,
"7061AE1401E89AA19CB3000000124578",,"epVmail",08/07/2018 18:17:43,08/07/2018 18:17:44,,
