"InteractionID",Client,"MediaType",submittedTime,CompletedTime,"connID",CRMActivityID
"644B3C4201E9F2819D69000000124578",,"epVmail",10/19/2019 09:37:04,10/19/2019 09:37:42,,
"3987336401E9F281B0C0000000124578",,"epVmail",10/19/2019 10:27:55,10/19/2019 10:28:21,,
"03CADBFC01E9F291944F000000124578",,"epVmail",10/19/2019 11:53:06,10/19/2019 11:54:21,,
"4C4F2AC801E9F2919D5C000000124578",,"epVmail",10/19/2019 12:22:51,10/19/2019 12:23:15,,
"C60000A401E9F2A1855E000000124578",,"epVmail",10/19/2019 13:03:35,10/19/2019 13:05:22,,
"D62B77F201E9F2B18A51000000124578",,"epVmail",10/19/2019 15:18:04,10/19/2019 15:18:41,,
"F448294C01E9F2B1B4A2000000124578",,"epVmail",10/19/2019 15:18:43,10/19/2019 15:19:11,,
"4D009FE201E9F2B18971000000124578",,"epVmail",10/19/2019 15:56:39,10/19/2019 15:56:45,,
"7995783C01E9F2C1A4D7000000124578",,"epVmail",10/19/2019 17:24:48,10/19/2019 17:25:14,,
"B618AD3001E9F2E193C1000000124578",,"epVmail",10/19/2019 21:23:26,10/19/2019 21:24:34,,
