"InteractionID",Client,"MediaType",submittedTime,CompletedTime,"connID",CRMActivityID
"1C22F93A01E7E891AEF1000000124578",,"epVmail",12/24/2017 04:26:03,12/24/2017 04:26:10,,
"6685C5D001E7E8B1AA10000000124578",,"epVmail",12/24/2017 07:55:50,12/24/2017 07:56:11,,
"9C4C8F7801E7E8B1A543000000124578",,"epVmail",12/24/2017 07:58:06,12/24/2017 07:59:15,,
"CBAF16DE01E7E8B1918F000000124578",,"epVmail",12/24/2017 08:21:24,12/24/2017 08:22:07,,
"5900406601E7E8C1B29B000000124578",,"epVmail",12/24/2017 09:08:18,12/24/2017 09:09:02,,
"695D21DA01E7E8C1BD4E000000124578",,"epVmail",12/24/2017 09:14:54,12/24/2017 09:15:27,,
"6E2F72EA01E7E8C1B44D000000124578",,"epVmail",12/24/2017 09:42:46,12/24/2017 09:42:48,,
"EDAA0BEC01E7E8C1BEBE000000124578",,"epVmail",12/24/2017 09:55:25,12/24/2017 09:56:08,,
"7B32ED3401E7E8D1A764000000124578",,"epVmail",12/24/2017 10:42:19,12/24/2017 10:43:03,,
"0593A96801E7E8D1BBFF000000124578",,"epVmail",12/24/2017 11:29:09,12/24/2017 11:29:53,,
"D8DA962E01E7E8D1A643000000124578",,"epVmail",12/24/2017 11:33:43,12/24/2017 11:34:17,,
"91F4A12201E7E8D1BA19000000124578",,"epVmail",12/24/2017 12:15:23,12/24/2017 12:15:33,,
"9A1FB27401E7E8D196C4000000124578",,"epVmail",12/24/2017 12:16:13,12/24/2017 12:16:54,,
"F7637C0E01E7E8E19E12000000124578",,"epVmail",12/24/2017 12:53:36,12/24/2017 12:54:07,,
"D248A60001E7E8E1AAA5000000124578",,"epVmail",12/24/2017 12:59:18,12/24/2017 12:59:27,,
"4855AD9601E7E8E18C13000000124578",,"epVmail",12/24/2017 13:17:30,12/24/2017 13:17:36,,
"AF4A5AF001E7E8E1A9F8000000124578",,"epVmail",12/24/2017 13:27:18,12/24/2017 13:27:24,,
"AC9718F401E7E8E1AC43000000124578",,"epVmail",12/24/2017 13:49:49,12/24/2017 13:50:33,,
"ED49CBE401E7E8E1A318000000124578",,"epVmail",12/24/2017 13:53:30,12/24/2017 13:55:41,,
"15DFFC1201E7E8E1AC01000000124578",,"epVmail",12/24/2017 13:59:51,12/24/2017 13:59:59,,
"0F66E67E01E7E8E1877A000000124578",,"epVmail",12/24/2017 14:08:09,12/24/2017 14:09:38,,
"AD20AA6A01E7E8F19531000000124578",,"epVmail",12/24/2017 14:25:52,12/24/2017 14:26:25,,
"3D515DFE01E7E8F19953000000124578",,"epVmail",12/24/2017 14:36:49,12/24/2017 14:37:32,,
"79EE7E0601E7E8F1965B000000124578",,"epVmail",12/24/2017 15:00:11,12/24/2017 15:00:41,,
"D029561C01E7E8F18F5D000000124578",,"epVmail",12/24/2017 15:23:53,12/24/2017 15:24:37,,
"C19CF8F201E7E8F18948000000124578",,"epVmail",12/24/2017 15:51:19,12/24/2017 15:52:01,,
"446E701401E7E9019EA1000000124578",,"epVmail",12/24/2017 17:29:06,12/24/2017 17:29:38,,
"B2A0876401E7E901B77A000000124578",,"epVmail",12/24/2017 17:51:32,12/24/2017 17:57:09,,
"3728239001E7E9318A6B000000124578",,"epVmail",12/24/2017 23:38:21,12/24/2017 23:43:29,,
