"InteractionID",Client,"MediaType",submittedTime,CompletedTime,"connID",CRMActivityID
"63ABD96001E7F2E1A004000000124578",,"epVmail",01/06/2018 07:34:27,01/06/2018 07:35:11,,
"33B120B801E7F2F193AB000000124578",,"epVmail",01/06/2018 08:00:44,01/06/2018 08:01:13,,
"154FACE001E7F2F198B5000000124578",,"epVmail",01/06/2018 08:22:22,01/06/2018 08:23:05,,
"7465CDA401E7F2F1844E000000124578",,"epVmail",01/06/2018 08:58:58,01/06/2018 08:58:58,,
"C75FDFE401E7F2F1932B000000124578",,"epVmail",01/06/2018 09:10:16,01/06/2018 09:10:57,,
"45E45F9E01E7F3019882000000124578",,"epVmail",01/06/2018 09:40:26,01/06/2018 09:40:33,,
"559F045C01E7F301B3E4000000124578",,"epVmail",01/06/2018 09:40:55,01/06/2018 09:41:05,,
"A339645E01E7F30192B7000000124578",,"epVmail",01/06/2018 09:56:10,01/06/2018 10:02:09,,
"7F0B553201E7F3018509000000124578",,"epVmail",01/06/2018 09:58:23,01/06/2018 09:59:06,,
"C91701EE01E7F3019CD1000000124578",,"epVmail",01/06/2018 10:01:01,01/06/2018 10:01:41,,
"F3D35BBA01E7F301A560000000124578",,"epVmail",01/06/2018 10:15:02,01/06/2018 10:15:42,,
"B3B467D801E7F3018603000000124578",,"epVmail",01/06/2018 10:33:48,01/06/2018 10:33:56,,
"A785B1AA01E7F301A7B3000000124578",,"epVmail",01/06/2018 10:40:30,01/06/2018 10:40:36,,
"423DAA5401E7F301AD4D000000124578",,"epVmail",01/06/2018 10:46:47,01/06/2018 10:47:31,,
"F9CAAC4401E7F3019F4B000000124578",,"epVmail",01/06/2018 10:49:58,01/06/2018 10:49:58,,
"9D85894801E7F301B7C6000000124578",,"epVmail",01/06/2018 11:03:31,01/06/2018 11:04:58,,
"DC15D13001E7F30199C7000000124578",,"epVmail",01/06/2018 11:10:52,01/06/2018 11:11:10,,
"D6BD3ED001E7F3019878000000124578",,"epVmail",01/06/2018 11:11:14,01/06/2018 11:11:58,,
"77C2E0DC01E7F3019116000000124578",,"epVmail",01/06/2018 11:14:56,01/06/2018 11:15:02,,
"73DD011201E7F301A766000000124578",,"epVmail",01/06/2018 11:29:47,01/06/2018 11:30:01,,
"CFD13C2C01E7F30182DA000000124578",,"epVmail",01/06/2018 11:33:22,01/06/2018 11:34:41,,
"F89E253401E7F3018121000000124578",,"epVmail",01/06/2018 11:34:50,01/06/2018 11:35:34,,
"E4DCFC8601E7F3118C45000000124578",,"epVmail",01/06/2018 11:42:53,01/06/2018 11:43:34,,
"C79E9E1C01E7F311946B000000124578",,"epVmail",01/06/2018 11:46:18,01/06/2018 11:46:24,,
"FCC137E401E7F311B8A3000000124578",,"epVmail",01/06/2018 11:48:03,01/06/2018 11:48:26,,
"0588FA9201E7F311A48D000000124578",,"epVmail",01/06/2018 11:48:04,01/06/2018 11:48:09,,
"EFC8A0A801E7F311A16C000000124578",,"epVmail",01/06/2018 11:56:22,01/06/2018 11:56:59,,
"1AE59EE401E7F311B4FC000000124578",,"epVmail",01/06/2018 11:58:07,01/06/2018 11:58:15,,
"E9F7E54201E7F3119CB9000000124578",,"epVmail",01/06/2018 12:08:47,01/06/2018 12:08:53,,
"FA57CEA201E7F31196A1000000124578",,"epVmail",01/06/2018 12:09:51,01/06/2018 12:10:39,,
"B17E6B3A01E7F31181D8000000124578",,"epVmail",01/06/2018 12:22:58,01/06/2018 12:23:42,,
"0C6156E801E7F311A3C7000000124578",,"epVmail",01/06/2018 12:28:20,01/06/2018 12:31:25,,
"83D8FCE401E7F3118FFC000000124578",,"epVmail",01/06/2018 12:28:24,01/06/2018 12:28:30,,
"C221876E01E7F3118368000000124578",,"epVmail",01/06/2018 12:29:26,01/06/2018 12:29:54,,
"F46B5CCC01E7F3119B3D000000124578",,"epVmail",01/06/2018 12:30:17,01/06/2018 12:30:42,,
"E5137EDE01E7F31193EB000000124578",,"epVmail",01/06/2018 12:37:13,01/06/2018 12:37:20,,
"0D4DD1F001E7F311A89C000000124578",,"epVmail",01/06/2018 12:45:34,01/06/2018 12:45:41,,
"1F3C1E7601E7F3118733000000124578",,"epVmail",01/06/2018 12:45:37,01/06/2018 12:45:38,,
"6948230C01E7F311B480000000124578",,"epVmail",01/06/2018 12:48:03,01/06/2018 12:48:09,,
"3AF2E4D201E7F311B138000000124578",,"epVmail",01/06/2018 12:54:03,01/06/2018 12:54:15,,
"94B14B8A01E7F311ACCE000000124578",,"epVmail",01/06/2018 12:56:27,01/06/2018 12:56:34,,
"824EB8EC01E7F311A390000000124578",,"epVmail",01/06/2018 12:58:01,01/06/2018 12:58:33,,
"CB526D5E01E7F3118E72000000124578",,"epVmail",01/06/2018 12:58:13,01/06/2018 12:58:33,,
