ID	WORKRESOURCEID	EMPLOYEEFILTERID
1722386853	51652	395
1722386854	51657	395
1722386855	51658	395
1722386856	51662	395
1722386857	51664	395
1722386858	51666	395
1722386859	51670	395
1722386860	51671	395
1722386861	51672	395
1722386862	51674	395
1722386863	51675	395
1722386864	51685	395
1722386865	51686	395
1722386866	51688	395
1722386867	51689	395
1722386868	51691	395
1722386869	51693	395
1722386870	51695	395
1722386871	51696	395
1722386872	51698	395
1722386873	51715	395
1722386874	51717	395
1722386875	51718	395
1722386876	51720	395
1722386877	51721	395
1722386878	51727	395
1722386879	51728	395
1722386880	51746	395
1722386881	51747	395
1722386882	51749	395
1722386883	51753	395
1722386884	54668	395
1722386885	54677	395
1722386886	54686	395
1722386887	54691	395
1722386888	54697	395
1722386889	54711	395
1722386890	54714	395
1722386891	54724	395
1722386892	54726	395
1722386893	54730	395
1722386894	54734	395
1722386895	54736	395
1722386896	54738	395
1722386897	54739	395
1722386898	54742	395
1722386899	54745	395
1722386900	54751	395
1722386901	54763	395
1722386902	56665	395
1722386903	56694	395
1722386904	56695	395
1722386905	56697	395
1722386906	56700	395
1722386907	56701	395
1722386908	56703	395
1722386909	56704	395
1722386910	56716	395
1722386911	56720	395
1722386912	56721	395
1722386913	56726	395
1722386914	56729	395
1722386915	56730	395
1722386916	56736	395
1722386917	56772	395
1722386918	56773	395
1722386919	56790	395
1722386920	56791	395
1722386921	56792	395
1722386922	56795	395
1722386923	56796	395
1722386924	56800	395
1722386925	56802	395
1722386926	56824	395
1722386927	56864	395
1722386928	56873	395
1722386929	56877	395
1722386930	56904	395
1722386931	57091	395
1722386932	57095	395
1722386933	57098	395
1722386934	57102	395
1722386935	57103	395
1722386936	57104	395
1722386937	57105	395
1722386938	57210	395
1722386939	57212	395
1722386940	57217	395
1722386941	57218	395
1722386942	57219	395
1722386943	57237	395
1722386944	57241	395
1722386945	57251	395
1722386946	57256	395
1722386947	57266	395
1722386948	57274	395
1722386949	57280	395
1722386950	57286	395
1722386951	57296	395
1722386952	57304	395
1722386953	57309	395
1722386954	57314	395
1722386955	57325	395
1722386956	57327	395
1722386957	57330	395
1722386958	57331	395
1722386959	57334	395
1722386960	57519	395
1722386961	57527	395
1722386962	57532	395
1722386963	57538	395
1722386964	57548	395
1722386965	57551	395
1722386966	57554	395
1722386967	57555	395
1722386968	57558	395
1722386969	57559	395
1722386970	57566	395
1722386971	57567	395
1722386972	57570	395
1722386973	57609	395
1722386974	57739	395
1722386975	57787	395
1722386976	57789	395
1722386977	57797	395
1722386978	57801	395
1722386979	57803	395
1722386980	57826	395
1722386981	57833	395
1722386982	57883	395
1722386983	57887	395
1722386984	57888	395
1722386985	57903	395
1722386986	57906	395
1722386987	57907	395
1722386988	57908	395
1722386989	57914	395
1722386990	57924	395
1722386991	57987	395
1722386992	57993	395
1722386993	58031	395
1722386994	58032	395
1722386995	58043	395
1722386996	58048	395
1722386997	58052	395
1722386998	58058	395
1722386999	58061	395
1722387000	58073	395
1722387001	58075	395
1722387002	58079	395
1722387003	58081	395
1722387004	58082	395
1722387005	10	101
1722387006	16	101
1722387007	77	101
1722387008	86	101
1722387009	107	101
1722387010	111	101
1722387011	141	101
1722387012	153	101
1722387013	12442	101
1722387014	15528	101
1722387015	18260	101
1722387016	18280	101
1722387017	18282	101
1722387018	18716	101
1722387019	18719	101
1722387020	18722	101
1722387021	18729	101
1722387022	18730	101
1722387023	18763	101
1722387024	18918	101
1722387025	19859	101
1722387026	20023	101
1722387027	20032	101
1722387028	21297	101
1722387029	21502	101
1722387030	21758	101
1722387031	21765	101
1722387032	21772	101
1722387033	22132	101
1722387034	22142	101
1722387035	22145	101
1722387036	22149	101
1722387037	22955	101
1722387038	22957	101
1722387039	22966	101
1722387040	22967	101
1722387041	23073	101
1722387042	23077	101
1722387043	23078	101
1722387044	23081	101
1722387045	23214	101
1722387046	23217	101
1722387047	23220	101
1722387048	23223	101
1722387049	23225	101
1722387050	23227	101
1722387051	23231	101
1722387052	23455	101
1722387053	23456	101
1722387054	23462	101
1722387055	23466	101
1722387056	23964	101
1722387057	23969	101
1722387058	23972	101
1722387059	24001	101
1722387060	24006	101
1722387061	24547	101
1722387062	24551	101
1722387063	24556	101
1722387064	25185	101
1722387065	25188	101
1722387066	25192	101
1722387067	25314	101
1722387068	25331	101
1722387069	26179	101
1722387070	26182	101
1722387071	26184	101
1722387072	31319	101
1722387073	31322	101
1722387074	31323	101
1722387075	33521	101
1722387076	33522	101
1722387077	33523	101
1722387078	34962	101
1722387079	35012	101
1722387080	35015	101
1722387081	35016	101
1722387082	35019	101
1722387083	35020	101
1722387084	35108	101
1722387085	35109	101
1722387086	35114	101
1722387087	35115	101
1722387088	35119	101
1722387089	35760	101
1722387090	35761	101
1722387091	35765	101
1722387092	35771	101
1722387093	35772	101
1722387094	35773	101
1722387095	35774	101
1722387096	36663	101
1722387097	36664	101
1722387098	37702	101
1722387099	37704	101
1722387100	37706	101
1722387101	37708	101
1722387102	37709	101
1722387103	37710	101
1722387104	37711	101
1722387105	39277	101
1722387106	39282	101
1722387107	39285	101
1722387108	39603	101
1722387109	39606	101
1722387110	39607	101
1722387111	39612	101
1722387112	39617	101
1722387113	39619	101
1722387114	39620	101
1722387115	39706	101
1722387116	39707	101
1722387117	39708	101
1722387118	39711	101
1722387119	41551	101
1722387120	41552	101
1722387121	41554	101
1722387122	41555	101
1722387123	41556	101
1722387124	41570	101
1722387125	41854	101
1722387126	41902	101
1722387127	41904	101
1722387128	41906	101
1722387129	41914	101
1722387130	41916	101
1722387131	41919	101
1722387132	42303	101
1722387133	44956	101
1722387134	44957	101
1722387135	44958	101
1722387136	44959	101
1722387137	44960	101
1722387138	44964	101
1722387139	44967	101
1722387140	45154	101
1722387141	45156	101
1722387142	45158	101
1722387143	45159	101
1722387144	45160	101
1722387145	45161	101
1722387146	45163	101
1722387147	45168	101
1722387148	45171	101
1722387149	45172	101
1722387150	45173	101
1722387151	45253	101
1722387152	45255	101
1722387153	45257	101
1722387154	45258	101
1722387155	45259	101
1722387156	45261	101
1722387157	45263	101
1722387158	45264	101
1722387159	45270	101
1722387160	45271	101
1722387161	45273	101
1722387162	46570	101
1722387163	46573	101
1722387164	46574	101
1722387165	46575	101
1722387166	46577	101
1722387167	46582	101
1722387168	46584	101
1722387169	46587	101
1722387170	46643	101
1722387171	46645	101
1722387172	46647	101
1722387173	46648	101
1722387174	46649	101
1722387175	46650	101
1722387176	46651	101
1722387177	46658	101
1722387178	46659	101
1722387179	46662	101
1722387180	46663	101
1722387181	46665	101
1722387182	51461	101
1722387183	51464	101
1722387184	51465	101
1722387185	51466	101
1722387186	51468	101
1722387187	51469	101
1722387188	51470	101
1722387189	51474	101
1722387190	51475	101
1722387191	51652	101
1722387192	51657	101
1722387193	51658	101
1722387194	51662	101
1722387195	51664	101
1722387196	51666	101
1722387197	51670	101
1722387198	51671	101
1722387199	51672	101
1722387200	51674	101
1722387201	51675	101
1722387202	51685	101
1722387203	51686	101
1722387204	51688	101
1722387205	51689	101
1722387206	51691	101
1722387207	51693	101
1722387208	51695	101
1722387209	51696	101
1722387210	51698	101
1722387211	51715	101
1722387212	51717	101
1722387213	51718	101
1722387214	51720	101
1722387215	51721	101
1722387216	51727	101
1722387217	51728	101
1722387218	51746	101
1722387219	51747	101
1722387220	51749	101
1722387221	51753	101
1722387222	54668	101
1722387223	54677	101
1722387224	54686	101
1722387225	54691	101
1722387226	54697	101
1722387227	54711	101
1722387228	54714	101
1722387229	54724	101
1722387230	54726	101
1722387231	54730	101
1722387232	54734	101
1722387233	54736	101
1722387234	54738	101
1722387235	54739	101
1722387236	54742	101
1722387237	54745	101
1722387238	54751	101
1722387239	54763	101
1722387240	56665	101
1722387241	56694	101
1722387242	56695	101
1722387243	56697	101
1722387244	56700	101
1722387245	56701	101
1722387246	56703	101
1722387247	56704	101
1722387248	56716	101
1722387249	56720	101
1722387250	56721	101
