ID	PERSONID	EMPLOYEETYPEID	ASSIGNEDPOINTS	BADGE	EMPLOYEENUMBER	STARTTIME	ENDTIME	CHANGECOUNTER	MODIFIEDBY	ISSUPERVISOR	ISTEAMLEAD	PREFERREDSTART
57759	11259	1	0	NULL	48414	2011-11-07 06:00:00.000	2011-12-02 05:59:00.000	4	veronicavidaurri	0	0	0
57762	11262	1	0	NULL	48511	2011-11-07 06:00:00.000	2011-12-16 05:59:00.000	5	veronicavidaurri	0	0	0
57763	11263	1	0	NULL	48509	2011-11-07 06:00:00.000	2012-03-31 04:59:00.000	5	kimlewis	0	0	0
57768	11268	1	0	NULL	48575	2011-11-14 06:00:00.000	2012-03-17 04:59:00.000	6	jennifer.johnson	0	0	0
57769	11269	1	0	NULL	48557	2011-11-14 06:00:00.000	2012-03-17 04:59:00.000	7	jennifer.johnson	0	0	0
57771	11271	1	0	NULL	48558	2011-11-14 06:00:00.000	2012-03-16 04:59:00.000	5	jennifer.johnson	0	0	0
57772	11272	1	0	NULL	48593	2011-11-14 06:00:00.000	2012-03-17 04:59:00.000	5	jennifer.johnson	0	0	0
57773	11273	1	0	NULL	48565	2011-11-14 06:00:00.000	2012-03-16 04:59:00.000	10	jennifer.johnson	0	0	0
57774	11274	1	0	NULL	48581	2011-11-14 06:00:00.000	2012-03-16 04:59:00.000	5	jennifer.johnson	0	0	0
57775	11275	1	0	NULL	48589	2011-11-14 06:00:00.000	2012-03-16 04:59:00.000	5	jennifer.johnson	0	0	0
57776	11276	1	0	NULL	48647	2011-11-14 06:00:00.000	2012-03-16 04:59:00.000	5	jennifer.johnson	0	0	0
57777	11277	1	0	NULL	48570	2011-11-14 06:00:00.000	2012-04-01 04:59:00.000	4	heather.trautman	0	0	0
57778	11278	1	0	NULL	48555	2011-11-14 06:00:00.000	2012-03-17 04:59:00.000	6	jennifer.johnson	0	0	0
57779	11279	1	0	NULL	46794	2011-11-14 06:00:00.000	2012-03-17 04:59:00.000	5	jennifer.johnson	0	0	0
57780	11280	1	0	NULL	48588	2011-11-14 06:00:00.000	2012-03-16 04:59:00.000	6	jennifer.johnson	0	0	0
57781	11281	1	0	NULL	48591	2011-11-14 06:00:00.000	2012-03-16 04:59:00.000	5	jennifer.johnson	0	0	0
57783	11283	1	0	NULL	48587	2011-11-14 06:00:00.000	2012-03-17 04:59:00.000	5	jennifer.johnson	0	0	0
57784	11284	1	0	NULL	NULL	2011-11-14 06:00:00.000	2011-12-13 05:59:00.000	4	jennifer.johnson	0	0	0
57789	11289	1	0	NULL	48554	2011-11-14 06:00:00.000	2012-07-13 04:59:59.000	7	kimlewis	0	0	0
57791	11291	1	0	NULL	48371	2011-11-14 06:00:00.000	2012-03-02 05:59:00.000	6	veronicavidaurri	0	0	0
57792	11292	1	0	NULL	48595	2011-11-14 06:00:00.000	2012-03-15 04:59:00.000	5	veronicavidaurri	0	0	0
57795	11295	1	0	NULL	48548	2011-11-14 06:00:00.000	2012-01-31 05:59:00.000	6	veronicavidaurri	0	0	0
57796	11296	1	0	NULL	48584	2011-11-14 06:00:00.000	2012-02-09 05:59:00.000	4	heather.trautman	0	0	0
57803	11303	1	0	NULL	48600	2011-11-14 06:00:00.000	2013-03-01 05:59:00.000	8	veronicavidaurri	0	0	0
57805	11305	1	0	NULL	48457	2011-11-07 06:00:00.000	2012-02-08 05:59:00.000	9	paulawilson	0	0	0
57812	11312	1	0	NULL	48553	2011-11-14 06:00:00.000	2012-01-08 05:59:00.000	5	veronicavidaurri	0	0	0
