AgentTeamID	SupervisorSkillTargetID
5005	5034
5005	5037
5005	5038
5005	9390
5005	9604
5005	9607
5005	9610
5005	9616
5005	10231
5005	10273
5005	12841
5007	5039
5007	5045
5007	5053
5007	5065
5007	5075
5007	5080
5007	5084
5007	5086
5007	5114
5007	5116
5007	5124
5007	5127
5007	5148
5007	5167
5007	5273
5007	5289
5007	6827
5007	8331
5007	8584
5007	8625
5007	9023
5007	9117
5007	9299
5007	9390
5007	9604
5007	9607
5007	9610
5007	9616
5007	9912
5007	10231
5007	12841
5007	14309
5007	17354
5010	5039
5010	5045
5010	5053
5010	5065
5010	5075
5010	5080
5010	5084
5010	5086
5010	5114
5010	5116
5010	5124
5010	5127
5010	5148
5010	5167
5010	5273
5010	5289
5010	6827
5010	8331
5010	8584
5010	9023
5010	9031
5010	9117
5010	9299
5010	9390
5010	9604
5010	9607
5010	9610
5010	9616
5010	11315
5010	12841
5010	14309
5010	17354
5011	5039
5011	5045
5011	5053
5011	5065
5011	5075
5011	5080
5011	5084
5011	5086
5011	5114
5011	5116
5011	5127
5011	5148
5011	5167
5011	5273
5011	6827
5011	8331
5011	8584
5011	9023
5011	9031
5011	9117
5011	9299
5011	9390
5011	9604
5011	9607
5011	9610
5011	9616
5011	9912
5011	10231
5011	12841
5011	14309
5011	17354
5017	5039
5017	5045
5017	5053
5017	5065
5017	5075
5017	5080
5017	5084
5017	5086
5017	5114
5017	5116
5017	5127
5017	5148
5017	5152
5017	5167
5017	5273
5017	6827
5017	8331
5017	8584
5017	9023
5017	9390
5017	9604
5017	9607
5017	9610
5017	9616
5017	9912
5017	10231
5017	10273
5017	11315
5017	12841
5017	14309
5017	17354
5018	5039
5018	5053
5018	5065
5018	5067
5018	5075
5018	5076
5018	5080
5018	5084
5018	5086
5018	5114
5018	5116
5018	5127
5018	5152
5018	5167
5018	5175
5018	5273
5018	6827
5018	8317
5018	8331
5018	8584
5018	8762
5018	8823
5018	9031
5018	9117
5018	9289
5018	9299
5018	9304
5018	9390
5018	9453
5018	9604
5018	9607
5018	9610
5018	9615
5018	9616
5018	9917
5018	10106
5018	10121
5018	10190
5018	10231
5018	10273
5018	10904
5018	10908
5018	11308
5018	11315
5018	12263
5018	12486
5018	12841
5018	13700
5018	13704
5018	13705
5018	13765
5018	13766
5018	13768
5018	13816
5018	13817
5018	13818
5018	13819
5018	13820
5018	13821
5018	13822
5034	5045
5034	5053
5034	5065
5034	5080
5034	5086
5034	5127
5034	5148
5034	5167
5034	6827
5034	7574
5034	7575
5034	8331
5034	9023
5034	9390
5034	9604
5034	9607
5034	9610
5034	9615
5034	9616
5034	9912
5034	10231
5034	12841
5034	14309
5040	5339
5040	5499
5040	5514
5040	5550
5040	6599
5040	8154
5040	8290
5040	8325
5040	9143
5040	9233
5040	9249
5040	9605
5040	9611
5040	9618
5040	9659
5040	10018
5040	10232
5040	10265
5040	10460
5040	11310
5040	11885
5040	12267
5040	12312
5040	12381
5040	12389
5040	13885
5043	5390
5043	5404
5043	5406
5043	5539
5043	6235
5043	6599
5043	6608
5043	6673
5043	7149
5043	7476
5043	7596
5043	8154
5043	8290
5043	8325
5043	8510
5043	8614
5043	8617
5043	9143
5043	9605
5043	9608
5043	9611
5043	9618
5043	9659
5043	9661
5043	9671
5043	9879
5043	9892
5043	10155
5043	10232
5043	10265
5043	10270
5043	10506
5043	10507
5043	10690
5043	10907
5043	10957
5043	11074
5043	11269
5043	11310
5043	11683
5043	11800
5043	11863
5043	12001
5043	12045
5043	12287
5043	12532
5043	12540
5043	12544
5043	12817
5043	12991
5043	13268
5043	13517
5043	13593
5043	13602
5043	13826
5043	13909
5043	13910
5043	13911
5043	13912
5043	13913
5043	13914
5043	13915
5043	13916
