ID,REPORTING_PERIOD_END_DATE,PROJECT_NAME,METRIC_NAME,ACTUAL_VALUE,FORECAST_VALUE
163,9/28/2013,CT HIX,AHT,508,420
164,9/28/2013,CT HIX,ASA,0.12,60
165,9/28/2013,CT HIX,AB Rate,1.18,5
232,9/28/2013,DC HIX,Calls Arriving,177,2514
233,9/28/2013,DC HIX,Calls Offered,173,2489
234,9/28/2013,DC HIX,FTE Count,23,23
235,9/28/2013,DC HIX,AHT,278,600
236,9/28/2013,DC HIX,ASA,4.2,15
237,9/28/2013,DC HIX,AB Rate,1.96,3.5
136,9/28/2013,HI HIX,Calls Arriving,602,375
137,9/28/2013,HI HIX,Calls Offered,602,375
138,9/28/2013,HI HIX,FTE Count,17,19
139,9/28/2013,HI HIX,AHT,361,720
140,9/28/2013,HI HIX,ASA,4.7,10
141,9/28/2013,HI HIX,AB Rate,0.99,1
196,9/28/2013,MD HIX,Calls Arriving,1353,2375
197,9/28/2013,MD HIX,Calls Offered,1319,2350
198,9/28/2013,MD HIX,FTE Count,61,22
199,9/28/2013,MD HIX,AHT,389,330
200,9/28/2013,MD HIX,ASA,10,3
201,9/28/2013,MD HIX,AB Rate,2.5,1
112,9/28/2013,NY HIX,Calls Arriving,4605,2830
113,9/28/2013,NY HIX,Calls Offered,4512,2805
114,9/28/2013,NY HIX,FTE Count,50,50
115,9/28/2013,NY HIX,AHT,511,480
116,9/28/2013,NY HIX,ASA,7,8
117,9/28/2013,NY HIX,AB Rate,2.02,1
,9/28/2013,VT HIX,Calls Arriving,1575,1055
,9/28/2013,VT HIX,Calls Offered,1317,844
,9/28/2013,VT HIX,AHT,482,450
,9/28/2013,VT HIX,ASA,32,30
,9/28/2013,VT HIX,AB Rate,6,3
268,10/5/2013,CCO - Brownsville,Calls Arriving,11718,
269,10/5/2013,CCO - Brownsville,Calls Offered,11718,
270,10/5/2013,CCO - Brownsville,FTE Count,752.4,731
271,10/5/2013,CCO - Brownsville,AHT,519,510
272,10/5/2013,CCO - Brownsville,ASA,,
273,10/5/2013,CCO - Brownsville,AB Rate,,
154,10/5/2013,CT HIX,Calls Arriving,7980,1813
155,10/5/2013,CT HIX,Calls Offered,6989,1569
156,10/5/2013,CT HIX,FTE Count,65,62
157,10/5/2013,CT HIX,AHT,626,889
158,10/5/2013,CT HIX,ASA,97.8,37
159,10/5/2013,CT HIX,AB Rate,8.95,3
226,10/5/2013,DC HIX,Calls Arriving,1362,10930
227,10/5/2013,DC HIX,Calls Offered,1307,9800
228,10/5/2013,DC HIX,FTE Count,52,52
229,10/5/2013,DC HIX,AHT,437,1500
230,10/5/2013,DC HIX,ASA,15,15
231,10/5/2013,DC HIX,AB Rate,4.2,3.5
130,10/5/2013,HI HIX,Calls Arriving,3524,630
131,10/5/2013,HI HIX,Calls Offered,2743,630
132,10/5/2013,HI HIX,FTE Count,17,19
133,10/5/2013,HI HIX,AHT,504,720
134,10/5/2013,HI HIX,ASA,67,2
135,10/5/2013,HI HIX,AB Rate,38.8,0.3
190,10/5/2013,MD HIX,Calls Arriving,12122,7900
191,10/5/2013,MD HIX,Calls Offered,10843,7663
192,10/5/2013,MD HIX,FTE Count,78,97
193,10/5/2013,MD HIX,AHT,352,780
194,10/5/2013,MD HIX,ASA,29,6
195,10/5/2013,MD HIX,AB Rate,10.6,3
106,10/5/2013,NY HIX,Calls Arriving,41205,8000
107,10/5/2013,NY HIX,Calls Offered,22934,7600
108,10/5/2013,NY HIX,FTE Count,321,325
109,10/5/2013,NY HIX,AHT,538,900
110,10/5/2013,NY HIX,ASA,68,7
111,10/5/2013,NY HIX,AB Rate,12,4
,10/5/2013,VT HIX,Calls Arriving,4311,1318
,10/5/2013,VT HIX,Calls Offered,3788,1055
,10/5/2013,VT HIX,AHT,458,720
,10/5/2013,VT HIX,ASA,215,60
,10/5/2013,VT HIX,AB Rate,21,8
256,10/12/2013,CCO - Boise,Calls Arriving,,
257,10/12/2013,CCO - Boise,Calls Offered,,
258,10/12/2013,CCO - Boise,FTE Count,1428,1394
259,10/12/2013,CCO - Boise,AHT,,
260,10/12/2013,CCO - Boise,ASA,,
261,10/12/2013,CCO - Boise,AB Rate,,
262,10/12/2013,CCO - Brownsville,Calls Arriving,13730,
263,10/12/2013,CCO - Brownsville,Calls Offered,13730,
264,10/12/2013,CCO - Brownsville,FTE Count,842,716
265,10/12/2013,CCO - Brownsville,AHT,363,510
266,10/12/2013,CCO - Brownsville,ASA,,
267,10/12/2013,CCO - Brownsville,AB Rate,,
148,10/12/2013,CT HIX,Calls Arriving,,1813
149,10/12/2013,CT HIX,Calls Offered,5729,1569
150,10/12/2013,CT HIX,FTE Count,60,62
151,10/12/2013,CT HIX,AHT,688,889
152,10/12/2013,CT HIX,ASA,88.64,37
153,10/12/2013,CT HIX,AB Rate,3.06,3
220,10/12/2013,DC HIX,Calls Arriving,614,2550
221,10/12/2013,DC HIX,Calls Offered,625,2168
222,10/12/2013,DC HIX,FTE Count,50,52
223,10/12/2013,DC HIX,AHT,556,1500
224,10/12/2013,DC HIX,ASA,8,30
225,10/12/2013,DC HIX,AB Rate,1.76,3
124,10/12/2013,HI HIX,Calls Arriving,1745,2400
125,10/12/2013,HI HIX,Calls Offered,1333,1800
126,10/12/2013,HI HIX,FTE Count,17,17
127,10/12/2013,HI HIX,AHT,384,468
128,10/12/2013,HI HIX,ASA,18,13.2
129,10/12/2013,HI HIX,AB Rate,4.05,4.49
184,10/12/2013,MD HIX,Calls Arriving,9128,7900
185,10/12/2013,MD HIX,Calls Offered,8887,7663
186,10/12/2013,MD HIX,FTE Count,75,97
187,10/12/2013,MD HIX,AHT,518,780
188,10/12/2013,MD HIX,ASA,14,6
189,10/12/2013,MD HIX,AB Rate,2.6,3
100,10/12/2013,NY HIX,Calls Arriving,44918,30031
101,10/12/2013,NY HIX,Calls Offered,29842,28529
102,10/12/2013,NY HIX,FTE Count,321,350
103,10/12/2013,NY HIX,AHT,547,900
104,10/12/2013,NY HIX,ASA,21,9
105,10/12/2013,NY HIX,AB Rate,1.87,2
,10/12/2013,VT HIX,Calls Arriving,3795,2461
,10/12/2013,VT HIX,Calls Offered,3236,1969
,10/12/2013,VT HIX,AHT,505,540
,10/12/2013,VT HIX,ASA,167,50
,10/12/2013,VT HIX,AB Rate,14,6
591,10/19/2013,CCO - Boise,Calls Arriving,,
598,10/19/2013,CCO - Boise,Calls Offered,,
605,10/19/2013,CCO - Boise,FTE Count,1372,1366
612,10/19/2013,CCO - Boise,AHT,,510
619,10/19/2013,CCO - Boise,ASA,,
626,10/19/2013,CCO - Boise,AB Rate,,
423,10/19/2013,CCO - Brownsville,Calls Arriving,6428,
430,10/19/2013,CCO - Brownsville,Calls Offered,6428,
437,10/19/2013,CCO - Brownsville,FTE Count,770,758
444,10/19/2013,CCO - Brownsville,AHT,408,510
451,10/19/2013,CCO - Brownsville,ASA,,
458,10/19/2013,CCO - Brownsville,AB Rate,,
381,10/19/2013,CT HIX,Calls Arriving,,
388,10/19/2013,CT HIX,Calls Offered,4614,6822
395,10/19/2013,CT HIX,FTE Count,60,65
402,10/19/2013,CT HIX,AHT,560,930
409,10/19/2013,CT HIX,ASA,76,60
416,10/19/2013,CT HIX,AB Rate,3.94,5
465,10/19/2013,DC HIX,Calls Arriving,690,2550
472,10/19/2013,DC HIX,Calls Offered,697,2168
