ID,REPORTING_PERIOD_END_DATE,PROJECT_NAME,METRIC_NAME,ACTUAL_VALUE,FORECAST_VALUE
466,11/30/2013,DC HIX,Calls Offered,2048,2016
473,11/30/2013,DC HIX,FTE Count,39,40
480,11/30/2013,DC HIX,AHT,506,590
487,11/30/2013,DC HIX,ASA,66,18
494,11/30/2013,DC HIX,AB Rate,10.7,4
543,11/30/2013,HI HIX,Calls Arriving,2701,3203
550,11/30/2013,HI HIX,Calls Offered,2236,2275
557,11/30/2013,HI HIX,FTE Count,15,15
564,11/30/2013,HI HIX,AHT,466,485
571,11/30/2013,HI HIX,ASA,20,36
578,11/30/2013,HI HIX,AB Rate,2.53,7.23
501,11/30/2013,MD HIX,Calls Arriving,7685,11262
508,11/30/2013,MD HIX,Calls Offered,5751,10924
515,11/30/2013,MD HIX,FTE Count,86,90
522,11/30/2013,MD HIX,AHT,936,780
529,11/30/2013,MD HIX,ASA,421,6
536,11/30/2013,MD HIX,AB Rate,25.2,3
298,11/30/2013,NY HIX,Calls Arriving,38086,41208
305,11/30/2013,NY HIX,Calls Offered,25010,26846
312,11/30/2013,NY HIX,FTE Count,364,360
319,11/30/2013,NY HIX,AHT,679,678
326,11/30/2013,NY HIX,ASA,98,57
333,11/30/2013,NY HIX,AB Rate,4.94,4.66
340,11/30/2013,VT HIX,Calls Arriving,5822,5101
347,11/30/2013,VT HIX,Calls Offered,5681,4336
354,11/30/2013,VT HIX,AHT,911.6,720
361,11/30/2013,VT HIX,ASA,1134,240
368,11/30/2013,VT HIX,AB Rate,41,15
