BucketIntervalID	EnterpriseName	IntervalUpperBound1	IntervalUpperBound2	IntervalUpperBound3	IntervalUpperBound4	IntervalUpperBound5	IntervalUpperBound6	IntervalUpperBound7	IntervalUpperBound8	IntervalUpperBound9	Deleted	ChangeStamp
1	Default_Bucket_Intervals	8	30	60	90	120	180	300	600	1200	N	0
5000	ESS	20	30	60	90	120	180	300	600	1200	N	0
