SkillTargetID	ScheduleID	PeripheralID	EnterpriseName	PeripheralNumber	PeripheralName	AvailableHoldoffDelay	Priority	BaseSkillTargetID	Extension	SubGroupMaskType	SubSkillGroupMask	ConfigParam	Description	Deleted	MRDomainID	IPTA	DefaultEntry	UserDeletable	ServiceLevelThreshold	ServiceLevelType	BucketIntervalID	ChangeStamp
12738	NULL	5000	CCM_PG1.Cisco_Voice.eei	0	eei	-1	0	12738	NULL	0	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	NULL	Y	1	Y	0	Y	-1	0	NULL	0
12739	NULL	5000	CCM_PG1.262_EB_EN_MBIC	262	262_EB_EN_MBIC	-1	0	12739	NULL	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	NULL	N	1	Y	0	Y	-1	0	NULL	3
12740	NULL	5000	CCM_PG1.263_EB_SP_MBIC	263	263_EB_SP_MBIC	-1	0	12740	NULL	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	NULL	N	1	Y	0	Y	-1	0	NULL	2
13205	NULL	5001	CCM_PG2.396_IEE_EN_QC	396	396_IEE_EN_QC	-1	0	13205	NULL	0	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	NULL	N	1	Y	0	Y	-1	0	NULL	0
13206	NULL	5001	CCM_PG2.397_IEE_SP_QC	397	397_IEE_SP_QC	-1	0	13206	NULL	0	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	NULL	N	1	Y	0	Y	-1	0	NULL	3
13207	NULL	5003	CCM_PG4.396_IEE_EN_QC	396	396_IEE_EN_QC	-1	0	13207	NULL	0	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	NULL	N	1	Y	0	Y	-1	0	NULL	0
13208	NULL	5003	CCM_PG4.397_IEE_SP_QC	397	397_IEE_SP_QC	-1	0	13208	NULL	0	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	NULL	N	1	Y	0	Y	-1	0	NULL	0
13711	NULL	5000	CCM_PG1.255_EB_PD_EXP_STAR	255	255_EB_PD_EXP_STAR	-1	0	13711	NULL	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	NULL	N	1	Y	0	Y	-1	0	NULL	0
13712	NULL	5000	CCM_PG1.256_EB_PD_EXP_STARPLUS	256	256_EB_PD_EXP_STARPLUS	-1	0	13712	NULL	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	NULL	N	1	Y	0	Y	-1	0	NULL	0
13715	NULL	5002	CCM_PG3.394_IEE_EN_MEPD	394	394_IEE_EN_MEPD	-1	0	13715	NULL	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	NULL	N	1	Y	0	Y	-1	0	NULL	0
13716	NULL	5002	CCM_PG3.395_IEE_SP_MEPD	395	395_IEE_SP_MEPD	-1	0	13716	NULL	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	NULL	N	1	Y	0	Y	-1	0	NULL	0
13717	NULL	5000	CCM_PG1.530_CHIP_EN_PERINATAL	530	530_CHIP_EN_PERINATAL	-1	0	13717	NULL	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	NULL	N	1	Y	0	Y	-1	0	NULL	0
13718	NULL	5000	CCM_PG1.531_CHIP_SP_PERINATAL	531	531_CHIP_SP_PERINATAL	-1	0	13718	NULL	1	NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN	NULL	NULL	N	1	Y	0	Y	-1	0	NULL	1
