ID	EMPLOYEEID	ACTIVITYID	TIMEOFFEVENTID	TIMEOFFCHOICEID	TIMEOFFCHOICERANK	TIMEOFFRULE	TOTALMINUTES	STARTTIME	ENDTIME	ISDIRTY	DIRTYTIME	STATUS	HOURSPERDAY	ORIGMINUTES	EXPIRYDATE
1185582	98112	253	NULL	65509	1	2	600	2013-09-30 13:00:00.000	2013-09-30 23:30:00.000	0	2013-09-25 21:54:57.000	8	2:10.0	600	2013-09-30 13:00:00.000
1185590	57681	-4113	NULL	65513	1	2	300	2013-10-11 18:00:00.000	2013-10-11 23:30:00.000	0	2013-10-10 16:59:16.000	2	1:5.0	330	2013-10-11 18:00:00.000
1185603	57681	-4113	NULL	65523	1	2	360	2013-10-03 17:00:00.000	2013-10-03 23:30:00.000	0	2013-09-25 22:15:34.000	2	2:6.0	390	2013-10-03 17:00:00.000
1185604	57681	-4113	NULL	65524	1	2	210	2013-10-03 19:30:00.000	2013-10-03 23:30:00.000	0	2013-09-25 22:15:34.000	1	2:3.5	240	2013-10-03 19:30:00.000
1185667	57701	-4113	NULL	65544	1	2	60	2013-10-01 13:00:00.000	2013-10-01 14:00:00.000	0	2013-10-01 14:46:23.000	1	2:1	60	2013-10-01 13:00:00.000
1185669	57701	-4113	NULL	65546	1	2	60	2013-10-08 13:00:00.000	2013-10-08 14:00:00.000	0	2013-10-07 18:31:35.000	1	2:1	60	2013-10-08 13:00:00.000
1185670	57701	-4113	NULL	65547	1	2	60	2013-10-09 13:00:00.000	2013-10-09 14:00:00.000	0	2013-10-10 16:59:15.000	1	1:1	60	2013-10-09 13:00:00.000
1185681	91889	-4113	NULL	65551	1	2	450	2013-10-11 14:45:00.000	2013-10-11 23:00:00.000	0	2013-10-11 18:35:10.000	1	1:7.5	480	2013-10-11 14:45:00.000
1185683	94869	253	NULL	65552	1	2	480	2013-10-07 14:30:00.000	2013-10-07 23:00:00.000	0	2013-10-07 17:35:40.000	1	2:8	510	2013-10-07 14:30:00.000
1186122	57251	-4113	NULL	65592	1	2	60	2013-10-08 20:45:00.000	2013-10-08 21:45:00.000	0	2013-10-11 18:35:10.000	1	1:1	60	2013-10-08 20:45:00.000
1186179	56888	-4113	NULL	65610	1	2	210	2013-10-10 13:00:00.000	2013-10-10 17:00:00.000	0	2013-10-11 13:49:31.000	1	1:3.5	240	2013-10-10 13:00:00.000
1186185	56888	-4113	NULL	65616	1	2	60	2013-10-11 13:00:00.000	2013-10-11 14:00:00.000	0	2013-10-11 13:49:31.000	1	1:1	60	2013-10-11 13:00:00.000
1186242	54781	-4113	NULL	65625	1	2	240	2013-10-01 14:30:00.000	2013-10-01 19:00:00.000	0	2013-10-07 17:08:26.000	1	1:4	270	2013-10-01 14:30:00.000
1186243	54781	-4113	NULL	65626	1	2	480	2013-10-11 14:30:00.000	2013-10-11 23:00:00.000	0	2013-10-11 15:05:54.000	2	1:8	480	2013-10-11 14:30:00.000
1186320	90934	-4113	NULL	65638	1	2	270	2013-09-30 13:00:00.000	2013-09-30 18:00:00.000	0	2013-10-02 16:07:22.000	1	2:4.5	300	2013-09-30 13:00:00.000
1186325	24594	-4113	NULL	65643	1	2	390	2013-10-11 13:00:00.000	2013-10-11 19:30:00.000	0	2013-10-10 16:13:35.000	1	1:6.5	390	2013-10-11 13:00:00.000
1186351	105523	253	NULL	65647	1	2	480	2013-10-04 13:30:00.000	2013-10-04 22:00:00.000	0	2013-10-07 17:35:35.000	1	1:8	480	2013-10-04 13:30:00.000
1186372	54554	-4113	NULL	65648	1	2	300	2013-10-01 13:00:00.000	2013-10-01 18:30:00.000	0	2013-10-01 18:06:33.000	1	2:5.0	330	2013-10-01 13:00:00.000
