uow_id,unit_of_work_name,production_plan_id,hourly_flag,handle_time_unit
0,Unknown,0,N,Seconds
,HI Language,0,N,Seconds
,Other Language,0,N,Seconds
,English Language,0,N,Seconds
,Individual,0,N,Seconds
,SHOP,0,N,Seconds
,WebChat,0,N,Seconds
,IVR,0,N,Seconds
