project_id, average_handle_time_target,cost_per_call_target,labor_cost_per_call_target,occupancy_target,utilization_target,record_eff_dt,record_end_dt,version
0,0,0,0,0,0,1/1/1900,12/31/2199,0
1,90,100,80,80,90,1/1/1900,12/31/2199,1
